artist,album,track,id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence
Lil Uzi Vert,Pluto x Baby Pluto (Deluxe),My Legacy,4V9K7DLPZNhCH77wLsAiNF,0.682,0.116,143.979,0.323,0.104,0.0,4,0.89,4,193333,-5.249,0.526
Lil Uzi Vert,Pluto x Baby Pluto (Deluxe),Heart In Pieces,669gYFBhezfYPXQP1hBMOX,0.699,0.103,138.929,0.0487,0.276,0.0,4,0.872,1,196835,-6.127,0.725
Lil Uzi Vert,Pluto x Baby Pluto (Deluxe),Because of You,6vbe3GmRG30x2nraEvHudq,0.469,0.0921,132.989,0.0549,0.445,0.0,4,0.781,10,216541,-8.456,0.518
Lil Uzi Vert,Pluto x Baby Pluto (Deluxe),Bust a Move,2z0LyXYmPgos95olIAQIO3,0.683,0.0693,140.035,0.055,0.0109,0.0,4,0.804,2,226286,-7.344,0.229
Lil Uzi Vert,Pluto x Baby Pluto (Deluxe),Baby Sasuke,4Y4Xmm8OLUJSdR9OkaxV97,0.633,0.129,145.995,0.149,0.689,0.0,4,0.66,3,210411,-5.782,0.715
Lil Uzi Vert,Pluto x Baby Pluto (Deluxe),Stripes Like Burberry,68ra53eElfqZM8G9fuOFSj,0.574,0.144,144.081,0.217,0.216,0.0,4,0.758,9,274313,-7.833,0.706
Lil Uzi Vert,Pluto x Baby Pluto (Deluxe),Marni On Me,5FmUNIsqr4gC4lwJtea8tX,0.52,0.313,123.189,0.447,0.0187,0.0,4,0.759,2,133171,-7.042,0.116
Lil Uzi Vert,Pluto x Baby Pluto (Deluxe),Sleeping On The Floor,1T40GpRFJiUIulCqLpAe4v,0.621,0.161,150.969,0.362,0.0233,0.0,4,0.851,11,167397,-6.679,0.532
Lil Uzi Vert,Pluto x Baby Pluto (Deluxe),Real Baby Pluto,2B6CpkK0Rz67UzwDTW2Jt7,0.567,0.109,141.973,0.302,0.0165,0.0,4,0.898,1,196636,-6.446,0.602
Lil Uzi Vert,Pluto x Baby Pluto (Deluxe),Drankin N Smokin,2ny1lTxfuQls8r5yX4Ad3g,0.658,0.0927,151.951,0.342,0.0421,0.0,4,0.752,0,213520,-6.297,0.387
Lil Uzi Vert,Pluto x Baby Pluto (Deluxe),Million Dollar Play,3kAyhdS74oZn8nOqifDEf2,0.502,0.115,150.07,0.398,0.11,0.0,4,0.839,0,166637,-5.886,0.585
Lil Uzi Vert,Pluto x Baby Pluto (Deluxe),Plastic,6LnOiHOWTAGJ5vAN6wBkqc,0.505,0.158,160.031,0.061,0.0485,0.0,4,0.773,5,193859,-5.716,0.142
Lil Uzi Vert,Pluto x Baby Pluto (Deluxe),That’s It,5LT018mJrqHdNwdltZ1hAM,0.532,0.0925,123.043,0.358,0.12,0.0,4,0.94,11,228796,-5.998,0.599
Lil Uzi Vert,Pluto x Baby Pluto (Deluxe),Bought A Bad Bitch,0NfbJvgf9mmdnoyzxNf46H,0.72,0.172,136.077,0.0646,0.112,0.0,4,0.866,7,210175,-6.641,0.785
Lil Uzi Vert,Pluto x Baby Pluto (Deluxe),Rockstar Chainz,1WFkr1TlmOQEgrLndQI6sY,0.517,0.31,143.043,0.307,0.0116,0.0,4,0.867,2,181040,-6.914,0.271
Lil Uzi Vert,Pluto x Baby Pluto (Deluxe),Lullaby,1PmY0lBdi87ma0JSlrcdAd,0.743,0.068,160.084,0.441,0.0391,0.0,4,0.494,7,261781,-6.716,0.59
